# Name | OuterRing | HoleRing1 | HoleRing2 | ...
# 每个 Ring 格式为: lon1,lat1;lon2,lat2;...;lonN,latN（不含闭合重复点）
北京大学图书馆|116.3030687,39.9909693;116.3030748,39.9908609;116.3033938,39.9908715;116.3034066,39.9906442;116.3030876,39.9906336;116.3030997,39.990419;116.3034187,39.9904295;116.3034323,39.9901878;116.3031133,39.9901772;116.3031201,39.990056;116.3034684,39.9900675;116.303531,39.9900696;116.3042168,39.9900923;116.3042143,39.9901379;116.304344,39.9901422;116.3043827,39.9901435;116.3043898,39.990018;116.3044474,39.9900199;116.3044499,39.9899748;116.3047143,39.9899836;116.3047031,39.9901827;116.3044387,39.9901739;116.3044141,39.9906112;116.3043967,39.9909199;116.3046542,39.9909284;116.3046431,39.9911256;116.3043856,39.9911171;116.3043877,39.9910803;116.3043301,39.9910784;116.3043363,39.9909673;116.3041679,39.9909617;116.3041654,39.9910055;116.3034445,39.9909817|116.3040146,39.99051;116.3040261,39.9903063;116.3039485,39.9903037;116.303937,39.9905074|116.3039284,39.990586;116.3039164,39.9907982;116.3039941,39.9908007;116.304006,39.9905886|116.3034864,39.9908515;116.3037562,39.9908604;116.303768,39.9906514;116.3037055,39.9906494;116.3037074,39.9906158;116.3035,39.990609
理科五号楼|116.3083524,39.9881646;116.3083563,39.9881029;116.3088619,39.9881218;116.3088574,39.9881921;116.3089261,39.9881947;116.3089021,39.9885692;116.3088257,39.9885663;116.3088212,39.9886354;116.3083072,39.9886161;116.3083119,39.9885434;116.3082326,39.9885404;116.3082568,39.9881611|116.3083914,39.988461;116.3087432,39.9884776;116.308759,39.988282;116.3084072,39.9882654
综合科研1号楼（逸夫楼）|116.3012393,39.9891285;116.3010554,39.9891221;116.3006858,39.9891093;116.30069,39.9890423;116.3005572,39.9890374;116.3005711,39.9888026;116.3005821,39.9886148;116.3012682,39.9886385|116.3007002,39.9890107;116.301063,39.9890211;116.301073,39.9888192;116.3007101,39.9888087
58号楼|116.3035537,39.9878705;116.3035526,39.9879176;116.3034719,39.9879164;116.3034713,39.987943;116.303531,39.9879438;116.3035298,39.987996;116.3032904,39.9879927;116.3032914,39.9879484;116.3033589,39.9879493;116.3033599,39.9879089;116.3032558,39.9879074;116.3032569,39.9878609;116.3031879,39.9878599;116.3031896,39.9877922;116.3032526,39.9877931;116.3032536,39.9877507;116.3035583,39.9877551;116.3035576,39.9877826;116.3036229,39.9877836;116.3036208,39.9878715|116.3033026,39.9878658;116.3033945,39.987866;116.3035291,39.9878663;116.3035293,39.987811;116.3033029,39.9878105
微纳电子大厦|116.3082485,39.9935927;116.3077652,39.9935428;116.3078879,39.9928461;116.3083712,39.9928961|116.3078804,39.9934069;116.3081765,39.9934321;116.3081953,39.9933115;116.3079039,39.993288|116.3079485,39.9931422;116.3082212,39.9931656;116.3082447,39.9930485;116.3079673,39.9930197
环境科学与工程学院（刘水楼）|116.308381,39.9936284;116.3083928,39.9935329;116.3086936,39.9935545;116.3087077,39.9934249;116.3084186,39.9934051;116.3084492,39.993072;116.3086207,39.993081;116.308619,39.9930966;116.3087641,39.9931044;116.3087735,39.9929711;116.3084915,39.9929549;116.3084985,39.9928667;116.3088558,39.9928847;116.3088887,39.9928991;116.3088816,39.9932034;116.3088511,39.9932034;116.3088323,39.9933817;116.3088581,39.9933835;116.3088299,39.9936896|116.3085972,39.9933421;116.3087453,39.9933493;116.3087571,39.9931872;116.3086066,39.9931782
理科三号楼（曙东楼）|116.3089396,39.9901571;116.3089783,39.9901585;116.3089713,39.9902781;116.308794,39.9902721;116.3087929,39.9902909;116.3087749,39.990603;116.3087404,39.9906018;116.3086684,39.9905994;116.3086643,39.9906706;116.308192,39.9906546;116.3081978,39.990553;116.3080522,39.9905481;116.3080731,39.9902132;116.3080787,39.9901173;116.3081684,39.9901203;116.308172,39.990057;116.308692,39.9900746;116.3089442,39.990084|116.3082214,39.9904544;116.3085364,39.9904691;116.3085554,39.9902303;116.3082404,39.9902156
21楼|116.3046777,39.9862643;116.3052763,39.98629;116.3052683,39.9863926;116.3048699,39.9863792;116.3046695,39.9863724
19楼|116.3046515,39.9868157;116.3048459,39.986824;116.3052501,39.9868414;116.3052421,39.986944;116.3046433,39.9869238
22楼|116.3047293,39.9858585;116.3050186,39.9858709;116.3053279,39.9858841;116.3053199,39.9859868;116.3047212,39.9859666
24楼|116.3047612,39.985346;116.3053598,39.9853716;116.3053518,39.9854743;116.3050499,39.9854641;116.304753,39.9854541
20楼|116.3045842,39.986409;116.3047546,39.9864156;116.3047368,39.9866065;116.3047218,39.9867678;116.3045513,39.9867611
23楼|116.30463,39.9854696;116.3048004,39.9854763;116.3047804,39.9856913;116.3047676,39.9858284;116.3045971,39.9858218
理科一号楼|116.3067698,39.9890498;116.3067789,39.9889236;116.3069349,39.9889302;116.3069366,39.9889074;116.3074488,39.9889291;116.3074433,39.9890047;116.3074912,39.9890067;116.3074676,39.9893341;116.3074643,39.9893794;116.3075191,39.9893817;116.3075036,39.9895968;116.3077534,39.9896074;116.3077338,39.9898784;116.3075589,39.989871;116.3074853,39.9899303;116.3069849,39.9899105;116.3069829,39.9899405;116.3067328,39.9899306;116.3067359,39.9898858;116.3066954,39.9898842;116.3066989,39.9898315;116.3067146,39.9898322;116.3067229,39.9897127;116.3067393,39.9897134;116.3067457,39.9896224;116.3067292,39.9896217;116.306732,39.9895823;116.3067362,39.9895231;116.3067527,39.9895238;116.3067587,39.9894405;116.3067417,39.9894398;116.3067512,39.9893083;116.3067923,39.9893101;116.3067963,39.989254;116.3067552,39.9892522;116.3067652,39.9891134;116.3068063,39.9891152;116.306811,39.9890515|116.3068868,39.9897084;116.3072741,39.9897227;116.3072894,39.9894789;116.3069021,39.9894646|116.3069839,39.989297;116.3073273,39.9893086;116.3073401,39.9890871;116.3069967,39.9890755
生命科学学院大楼|116.3081843,39.9908798;116.3082306,39.9908801;116.3082302,39.9908633;116.30878,39.990878;116.3087532,39.9912397;116.3089302,39.9912438;116.3089247,39.9913769;116.308876,39.991377;116.3088735,39.9914076;116.3082369,39.9913858;116.3082388,39.9913452;116.3081543,39.9913437;116.3081668,39.9909196;116.3081841,39.9909195|116.3082821,39.9911362;116.3085771,39.9911484;116.3085909,39.9909528;116.3082958,39.9909407
北京大学校医院|116.3080545,39.995204;116.3081338,39.9952048;116.3081334,39.9951839;116.3083415,39.9951909;116.3083405,39.9952057;116.3084031,39.9952093;116.3084456,39.9952139;116.3084889,39.9952236;116.3085274,39.9952344;116.3085571,39.9952445;116.3085834,39.9952622;116.3086071,39.9952524;116.3086271,39.995272;116.3086397,39.9952875;116.3086513,39.9953076;116.30866,39.9953268;116.308664,39.9957152;116.3082452,39.9957003;116.3082446,39.9956936;116.3082307,39.9956934;116.3082299,39.9956757;116.3081674,39.9956773;116.3081534,39.9956728;116.308139,39.9956634;116.3081271,39.9956536;116.3081212,39.9956429;116.3081176,39.9956338;116.3081167,39.9956182;116.30807,39.9956178;116.3080734,39.995531;116.3081062,39.9955311;116.3081242,39.9952825;116.3080484,39.9952802;116.3078729,39.9952754;116.3078738,39.9953486;116.3078474,39.9953477;116.3078359,39.9955206;116.3078967,39.9955206;116.3078957,39.9955478;116.3079246,39.9955473;116.3079245,39.9956005;116.3079409,39.9956008;116.3079407,39.9956322;116.3078402,39.9956306;116.307841,39.9956674;116.3077458,39.9956638;116.3077448,39.9956892;116.3076392,39.9956867;116.3076393,39.9956557;116.3072778,39.9956369;116.3072908,39.9954928;116.3073534,39.995492;116.3073664,39.9953272;116.3073678,39.9952889;116.3073817,39.9952562;116.3074071,39.9952291;116.3074338,39.9952076;116.3074605,39.9951926;116.3074986,39.995181;116.3075002,39.9951505;116.3076049,39.9951476;116.3076036,39.9951676;116.307683,39.9951683;116.3076846,39.9951547;116.3078978,39.9951652;116.3078978,39.9952|116.3082097,39.9954629;116.3082983,39.9954681;116.3083115,39.9953337;116.308223,39.9953286|116.3075674,39.9954948;116.3077122,39.995504;116.3077313,39.9953283;116.3075865,39.995319
光华管理学院1号楼|116.3053613,39.9896746;116.3053691,39.9895493;116.3055087,39.9895544;116.30551,39.9895337;116.3056359,39.9895383;116.3056523,39.9892749;116.3053605,39.9892643;116.3053709,39.9890984;116.3054132,39.9890999;116.3054157,39.9890586;116.3062573,39.9890893;116.3062188,39.9897081;116.3061729,39.9897065;116.3061713,39.989732;116.3060109,39.9897261;116.3060125,39.9897;116.3059938,39.9896994;116.3059922,39.9897253;116.3057466,39.9897162;116.3057482,39.9896895;116.3057253,39.9896887;116.3057237,39.9897152;116.3054947,39.9897068;116.3054964,39.9896795|116.3056927,39.9895424;116.3060341,39.9895547;116.3060491,39.9893095;116.3060749,39.9893104;116.3060761,39.9892914;116.3057087,39.9892783
