# Name | Longitude | Latitude | Width | Length | Height | R | G | B
北京大学图书馆|116.30393853823529|39.99052945|60.0|60.0|40.0|0.7|0.5|0.4
理科五号楼|116.30856646153846|39.98835173846154|45.0|65.0|35.0|0.6|0.6|0.7
综合科研1号楼（逸夫楼）|116.30087648888889|39.98895822222222|50.0|70.0|35.0|0.6|0.6|0.7
58号楼|116.30341526666668|39.98787686190476|20.0|50.0|24.0|0.7|0.6|0.5
物理学院楼|116.31053770666668|39.99156691333334|55.0|75.0|30.0|0.6|0.6|0.7
微纳电子大厦|116.30810426000001|39.99329408|40.0|60.0|45.0|0.5|0.6|0.8
环境科学与工程学院（刘水楼）|116.30865943500001|39.993248315|40.0|50.0|30.0|0.6|0.7|0.6
理科三号楼（曙东楼）|116.30857021578947|39.990326878947364|45.0|60.0|35.0|0.6|0.6|0.7
21楼|116.30490656666666|39.98632713333333|20.0|55.0|24.0|0.7|0.6|0.5
19楼|116.30488073333333|39.986860766666666|20.0|55.0|24.0|0.7|0.6|0.5
22楼|116.30497436666667|39.985904233333336|20.0|55.0|24.0|0.7|0.6|0.5
20楼|116.30465548333332|39.9865615|20.0|55.0|24.0|0.7|0.6|0.5
23楼|116.30470091666666|39.98562616666667|20.0|55.0|24.0|0.7|0.6|0.5
理科一号楼|116.30699334871795|39.98945077179487|50.0|70.0|35.0|0.6|0.6|0.7
生命科学学院大楼|116.30846319333334|39.99112932|50.0|65.0|30.0|0.6|0.7|0.6
北京大学校医院|116.30799016567164|39.99541348358209|45.0|60.0|20.0|0.8|0.8|0.8
光华管理学院1号楼|116.30570894|39.989544144|45.0|60.0|35.0|0.7|0.5|0.5
吕志和楼|116.30695901428571|39.991218278571424|40.0|50.0|25.0|0.7|0.6|0.6
顾颉刚故居|116.30832958|39.99429616|15.0|20.0|8.0|0.5|0.4|0.3
全斋|116.30351848000001|39.994884|15.0|40.0|12.0|0.6|0.5|0.4
教育基金会|116.30426812|39.99556302|25.0|35.0|15.0|0.6|0.5|0.5
