id,type,name,highway,point_count,coordinates
way/81813447,Polygon,,pedestrian,8,"116.318,40.0021;116.318,40.002;116.318,40.0019;116.319,40.002;116.319,40.002;116.319,40.0021;116.318,40.0021;116.318,40.0021"
way/944502483,Polygon,,pedestrian,7,"116.303,39.9828;116.303,39.9828;116.303,39.9828;116.303,39.9828;116.303,39.9829;116.303,39.9829;116.303,39.9828"
way/993282840,Polygon,法图东侧下沉广场,pedestrian,7,"116.323,39.9981;116.323,39.9979;116.323,39.9979;116.323,39.9979;116.323,39.9981;116.323,39.9981;116.323,39.9981"
way/993979360,Polygon,,pedestrian,15,"116.292,39.9876;116.292,39.9874;116.292,39.9872;116.292,39.9872;116.292,39.9871;116.292,39.9871;116.292,39.987;116.292,39.987;116.293,39.9869;116.293,39.987;116.293,39.9869;116.293,39.9869;116.293,39.9876;116.293,39.9876;116.292,39.9876"
way/1030226621,Polygon,喷泉广场,pedestrian,14,"116.298,40.0013;116.298,40.0012;116.298,40.0011;116.298,40.0008;116.298,40.0008;116.299,40.0008;116.299,40.0011;116.299,40.0011;116.299,40.0012;116.299,40.0013;116.299,40.0013;116.299,40.0014;116.299,40.0014;116.298,40.0013"
way/1030226630,Polygon,下沉广场,pedestrian,5,"116.299,40.0016;116.299,40.0014;116.299,40.0014;116.299,40.0017;116.299,40.0016"
way/1192032410,Polygon,,pedestrian,5,"116.308,39.9891;116.308,39.989;116.308,39.989;116.308,39.9891;116.308,39.9891"
way/1378009833,Polygon,,pedestrian,21,"116.311,39.9984;116.312,39.9984;116.312,39.9983;116.312,39.9983;116.312,39.9983;116.312,39.9983;116.312,39.9983;116.312,39.9984;116.312,39.9984;116.312,39.9984;116.312,39.9984;116.312,39.9985;116.312,39.9985;116.312,39.9985;116.312,39.9985;116.312,39.9985;116.312,39.9985;116.312,39.9985;116.312,39.9985;116.311,39.9984;116.311,39.9984"
way/1378022596,Polygon,,pedestrian,12,"116.318,40.0008;116.318,40.0007;116.318,40.0006;116.319,40.0006;116.319,40.0007;116.319,40.0007;116.319,40.0008;116.319,40.0008;116.319,40.0008;116.319,40.0008;116.318,40.0008;116.318,40.0008"
way/1378022597,Polygon,,pedestrian,7,"116.319,40.0006;116.319,40.0003;116.319,40.0003;116.319,40.0003;116.319,40.0003;116.319,40.0006;116.319,40.0006"
way/1419539435,Polygon,,elevator,20,"116.305,39.9807;116.306,39.9807;116.306,39.9807;116.306,39.9807;116.306,39.9807;116.306,39.9807;116.306,39.9808;116.306,39.9808;116.306,39.9808;116.306,39.9808;116.306,39.9809;116.306,39.9809;116.306,39.9809;116.305,39.9809;116.305,39.9808;116.305,39.9808;116.305,39.9808;116.305,39.9807;116.305,39.9807;116.305,39.9807"
way/1419539438,Polygon,,elevator,5,"116.306,39.981;116.306,39.981;116.306,39.981;116.306,39.981;116.306,39.981"
way/1419539439,Polygon,,pedestrian,12,"116.298,39.9831;116.299,39.9831;116.299,39.9832;116.299,39.9831;116.299,39.9831;116.299,39.9832;116.299,39.9832;116.299,39.9833;116.299,39.9833;116.299,39.9833;116.298,39.9833;116.298,39.9831"
way/1433302285,Polygon,,pedestrian,5,"116.316,39.9827;116.316,39.9825;116.316,39.9825;116.316,39.9827;116.316,39.9827"
way/1433563366,Polygon,,pedestrian,7,"116.316,39.9893;116.316,39.9889;116.317,39.989;116.317,39.9891;116.317,39.9892;116.317,39.9893;116.316,39.9893"
way/1501256905,Polygon,,pedestrian,12,"116.292,39.9869;116.292,39.9869;116.292,39.9868;116.292,39.9868;116.292,39.9868;116.292,39.9868;116.292,39.9868;116.292,39.9868;116.292,39.987;116.292,39.987;116.292,39.9871;116.292,39.9869"
