id,type,name,highway,point_count,coordinates
way/81813447,Polygon,,pedestrian,8,"116.3178969,40.0020781;116.3179125,40.001994;116.3179279,40.0019115;116.3186867,40.0019555;116.31868,40.0020441;116.3186738,40.0021264;116.3182824,40.0021021;116.3178969,40.0020781"
way/944502483,Polygon,,pedestrian,7,"116.302765,39.982758;116.3028472,39.9827587;116.3028472,39.9827775;116.3030952,39.9827774;116.3030952,39.982851;116.3027651,39.9828512;116.302765,39.982758"
way/993282840,Polygon,法图东侧下沉广场,pedestrian,7,"116.323159,39.998079;116.3231682,39.9978898;116.3233441,39.9978913;116.3234084,39.9978918;116.3233999,39.9980836;116.3232452,39.9980819;116.323159,39.998079"
way/993979360,Polygon,,pedestrian,15,"116.292336,39.9875758;116.292357,39.9873934;116.2924391,39.9872349;116.2923162,39.9871802;116.2923677,39.9871144;116.2924006,39.9870617;116.2924387,39.9870238;116.2924847,39.9869925;116.2926888,39.9868801;116.2927538,39.9869857;116.2930218,39.9869124;116.2932016,39.9869078;116.2931023,39.9875606;116.2930855,39.9875609;116.292336,39.9875758"
way/1030226621,Polygon,喷泉广场,pedestrian,14,"116.2981177,40.0013229;116.2981394,40.0011899;116.2981547,40.0010779;116.2981835,40.0008255;116.29819,40.0007652;116.2986682,40.0007866;116.2986421,40.0010538;116.2986308,40.0011347;116.2986844,40.0011609;116.298674,40.0012741;116.2986171,40.0012949;116.2986107,40.0013592;116.2985285,40.0013532;116.2981177,40.0013229"
way/1030226630,Polygon,下沉广场,pedestrian,5,"116.298592,40.0016227;116.2986191,40.0013902;116.2990694,40.0014209;116.2990423,40.0016535;116.298592,40.0016227"
way/1192032410,Polygon,,pedestrian,5,"116.3077493,39.9891333;116.3076388,39.9890453;116.3077611,39.9889572;116.307879,39.9890509;116.3077493,39.9891333"
way/1378009833,Polygon,,pedestrian,21,"116.3114893,39.9983985;116.3115012,39.9983699;116.311525,39.998346;116.3115578,39.9983297;116.3115959,39.9983227;116.3116348,39.998326;116.31167,39.9983391;116.3116955,39.9983584;116.311712,39.9983829;116.3117178,39.99841;116.3117124,39.9984372;116.3116963,39.9984617;116.3116711,39.9984813;116.3116392,39.9984939;116.3116178,39.9984966;116.3116038,39.9984984;116.3115652,39.9984935;116.3115309,39.9984789;116.3115051,39.9984563;116.3114907,39.9984284;116.3114893,39.9983985"
way/1378022596,Polygon,,pedestrian,12,"116.3182185,40.0007583;116.3182229,40.0007013;116.3182297,40.0006129;116.318788,40.0006411;116.3188198,40.000673;116.3188401,40.0006933;116.3188436,40.0007838;116.3187929,40.0008049;116.3187796,40.0008105;116.3187018,40.0007897;116.3184751,40.0007673;116.3182185,40.0007583"
way/1378022597,Polygon,,pedestrian,7,"116.3189429,40.0005539;116.3189572,40.0003418;116.3189596,40.0003067;116.3192111,40.0003167;116.3192095,40.0003402;116.3191943,40.0005639;116.3189429,40.0005539"
way/1419539435,Polygon,,elevator,20,"116.3054749,39.9806863;116.3055154,39.9806733;116.3055591,39.980671;116.3056014,39.9806798;116.3056377,39.9806986;116.305664,39.9807254;116.3056776,39.9807574;116.3056769,39.9807909;116.305662,39.9808225;116.3056346,39.9808487;116.3055976,39.9808666;116.3055549,39.9808743;116.3055113,39.9808711;116.3054714,39.9808571;116.3054396,39.980834;116.3054194,39.9808042;116.3054128,39.9807709;116.3054207,39.9807379;116.3054422,39.9807086;116.3054749,39.9806863"
way/1419539438,Polygon,,elevator,5,"116.3056169,39.9810043;116.3056208,39.9809609;116.305752,39.9809678;116.3057481,39.9810112;116.3056169,39.9810043"
way/1419539439,Polygon,,pedestrian,12,"116.2980266,39.9831427;116.2985357,39.9830522;116.2990918,39.9831673;116.2991205,39.983104;116.2992799,39.9831383;116.2993395,39.9831787;116.2992592,39.9832358;116.29914,39.9832868;116.2990024,39.9833043;116.2986148,39.9832507;116.2980771,39.9832569;116.2980266,39.9831427"
way/1433302285,Polygon,,pedestrian,5,"116.3162376,39.9826987;116.316237,39.9824838;116.3163735,39.9824836;116.3163742,39.9826985;116.3162376,39.9826987"
way/1433563366,Polygon,,pedestrian,7,"116.3163325,39.9892674;116.3163728,39.9889435;116.3166968,39.9889638;116.3166759,39.9891374;116.3166217,39.9892014;116.3165911,39.9892791;116.3163325,39.9892674"
way/1501256905,Polygon,,pedestrian,12,"116.2920979,39.986883;116.2920844,39.9868667;116.2920876,39.9868156;116.292105,39.9867905;116.2921242,39.9867811;116.2921724,39.9867708;116.2922128,39.9867708;116.2922398,39.9867811;116.2924847,39.9869925;116.2924387,39.9870238;116.2924006,39.9870617;116.2920979,39.986883"
way/1501256928,Polygon,,pedestrian,20,"116.2911319,39.9850077;116.2911177,39.9850316;116.2910944,39.9850508;116.2910643,39.9850635;116.2910306,39.9850683;116.2909966,39.9850647;116.2909637,39.9850519;116.2909384,39.9850313;116.2909237,39.9850053;116.2909213,39.9849771;116.2909315,39.9849499;116.2909531,39.984927;116.2909835,39.984911;116.2910192,39.9849038;116.2910534,39.9849058;116.291085,39.984916;116.2911109,39.9849333;116.2911283,39.9849559;116.2911355,39.9849815;116.2911319,39.9850077"
way/22069891,LineString,颐和园路,tertiary,3,"116.2983116,39.9961848;116.2983145,39.9960881;116.2983165,39.996022"
way/22799950,LineString,中关村北二街,tertiary,16,"116.3211102,39.9912004;116.3211102,39.9911209;116.3211146,39.9910566;116.3211499,39.9901866;116.3211408,39.9900271;116.3211146,39.9898939;116.3210837,39.9896935;116.3209218,39.9891446;116.320891,39.9890052;116.3208763,39.9888642;116.3208702,39.9887068;116.3208763,39.9885494;116.3208806,39.9881571;116.320977,39.9866182;116.3211064,39.9848536;116.321115,39.9847369"
way/22799951,LineString,清华路,residential,17,"116.3199258,39.999711;116.3198558,39.9997125;116.3183699,39.9996258;116.3182788,39.9996222;116.3181807,39.9996178;116.3179372,39.9995585;116.3177242,39.9994668;116.3167484,39.9989623;116.3166265,39.998901;116.3164578,39.9988433;116.316256,39.9987883;116.3159846,39.9987486;116.3157305,39.9987335;116.3127872,39.9986084;116.3116547,39.9985484;116.311599,39.9985523;116.3115925,39.998552"
